source	target	mor
NFKB1	MED1	1
RELA_RELB	MED1	1
NFKB2_RELA	MED1	1
NFKB1_RELB	MED1	1
REL_RELA	MED1	1
NFKB1_NFKB2	MED1	1
NFKB1_REL	MED1	1
NFKB2_RELB	MED1	1
RELB	MED1	1
NFKB1_RELA	MED1	1
NFKB2	MED1	1
NFKB2_REL	MED1	1
REL_RELB	MED1	1
REL	MED1	1
RELA_RELB	CD69	1
NFKB2_RELA	CD69	1
NFKB1_RELB	CD69	1
REL_RELA	CD69	1
NFKB1_NFKB2	CD69	1
NFKB1_REL	CD69	1
NFKB2_RELB	CD69	1
RELB	CD69	1
NFKB1_RELA	CD69	1
NFKB2	CD69	1
NFKB2_REL	CD69	1
REL_RELB	CD69	1
REL	CD69	1
FOSL1_JUNB	GLRX	1
FOS_JUN	GLRX	1
FOS_JUNB	GLRX	1
FOSL2_JUND	GLRX	1
FOSL2_JUN	GLRX	1
JUN	GLRX	1
FOSB_JUNB	GLRX	1
JUNB	GLRX	1
FOSL2_JUNB	GLRX	1
JUND	GLRX	1
JUN_JUND	GLRX	1
JUNB_JUND	GLRX	1
FOSL1_JUND	GLRX	1
FOSL1_JUN	GLRX	1
FOSB_JUND	GLRX	1
FOSB_JUN	GLRX	1
JUN_JUNB	GLRX	1
FOS_JUND	GLRX	1
FOSL1_JUNB	ODC1	1
FOS_JUN	ODC1	1
FOS_JUNB	ODC1	1
FOSL2_JUND	ODC1	1
FOSL2_JUN	ODC1	1
JUN	ODC1	1
FOSB_JUNB	ODC1	1
JUNB	ODC1	1
FOSL2_JUNB	ODC1	1
JUND	ODC1	1
JUN_JUND	ODC1	1
JUNB_JUND	ODC1	1
FOSL1_JUND	ODC1	1
FOSL1_JUN	ODC1	1
FOSB_JUND	ODC1	1
FOSB_JUN	ODC1	1
JUN_JUNB	ODC1	1
FOS_JUND	ODC1	1
NFKB1	ELN	-1
RELA_RELB	ELN	-1
NFKB2_RELA	ELN	-1
NFKB1_RELB	ELN	-1
REL_RELA	ELN	-1
NFKB1_NFKB2	ELN	-1
NFKB1_REL	ELN	-1
NFKB2_RELB	ELN	-1
RELB	ELN	-1
NFKB1_RELA	ELN	-1
NFKB2	ELN	-1
NFKB2_REL	ELN	-1
REL_RELB	ELN	-1
REL	ELN	-1
NFKB1	BCR	1
RELA_RELB	BCR	1
NFKB2_RELA	BCR	1
NFKB1_RELB	BCR	1
REL_RELA	BCR	1
NFKB1_NFKB2	BCR	1
NFKB1_REL	BCR	1
NFKB2_RELB	BCR	1
RELB	BCR	1
NFKB1_RELA	BCR	1
NFKB2	BCR	1
NFKB2_REL	BCR	1
REL_RELB	BCR	1
REL	BCR	1
FOSL1_JUNB	HLA-DRB1	1
FOS_JUN	HLA-DRB1	1
FOS_JUNB	HLA-DRB1	1
FOSL2_JUND	HLA-DRB1	1
FOSL2_JUN	HLA-DRB1	1
FOSB_JUNB	HLA-DRB1	1
JUNB	HLA-DRB1	1
FOSL2_JUNB	HLA-DRB1	1
JUND	HLA-DRB1	1
JUN_JUND	HLA-DRB1	1
JUNB_JUND	HLA-DRB1	1
FOSL1_JUND	HLA-DRB1	1
FOSL1_JUN	HLA-DRB1	1
FOSB_JUND	HLA-DRB1	1
FOSB_JUN	HLA-DRB1	1
JUN_JUNB	HLA-DRB1	1
FOS_JUND	HLA-DRB1	1
FOSL1_JUNB	GSS	1
FOS_JUN	GSS	1
FOS_JUNB	GSS	1
FOSL2_JUND	GSS	1
FOSL2_JUN	GSS	1
JUN	GSS	1
FOSB_JUNB	GSS	1
JUNB	GSS	1
FOSL2_JUNB	GSS	1
JUND	GSS	1
JUN_JUND	GSS	1
JUNB_JUND	GSS	1
FOSL1_JUND	GSS	1
FOSL1_JUN	GSS	1
FOSB_JUND	GSS	1
FOSB_JUN	GSS	1
JUN_JUNB	GSS	1
FOS_JUND	GSS	1
FOSL1_JUNB	APC	1
FOS_JUN	APC	1
FOS_JUNB	APC	1
FOSL2_JUND	APC	1
FOSL2_JUN	APC	1
FOSB_JUNB	APC	1
JUNB	APC	1
FOSL2_JUNB	APC	1
JUND	APC	1
JUN_JUND	APC	1
JUNB_JUND	APC	1
FOSL1_JUND	APC	1
FOSL1_JUN	APC	1
FOSB_JUND	APC	1
FOSB_JUN	APC	1
JUN_JUNB	APC	1
FOS_JUND	APC	1
FOSL1_JUNB	RHOA	1
FOS_JUN	RHOA	1
FOS_JUNB	RHOA	1
FOSL2_JUND	RHOA	1
FOSL2_JUN	RHOA	1
JUN	RHOA	1
FOSB_JUNB	RHOA	1
JUNB	RHOA	1
FOSL2_JUNB	RHOA	1
JUND	RHOA	1
JUN_JUND	RHOA	1
JUNB_JUND	RHOA	1
FOSL1_JUND	RHOA	1
FOSL1_JUN	RHOA	1
FOSB_JUND	RHOA	1
FOSB_JUN	RHOA	1
JUN_JUNB	RHOA	1
FOS_JUND	RHOA	1
RELA_RELB	PRF1	1
NFKB2_RELA	PRF1	1
NFKB1_RELB	PRF1	1
REL_RELA	PRF1	1
NFKB1_NFKB2	PRF1	1
NFKB1_REL	PRF1	1
NFKB2_RELB	PRF1	1
RELB	PRF1	1
NFKB1_RELA	PRF1	1
NFKB2	PRF1	1
NFKB2_REL	PRF1	1
REL_RELB	PRF1	1
REL	PRF1	1
FOSL1_JUNB	CYP1A2	1
FOS_JUN	CYP1A2	1
FOS_JUNB	CYP1A2	1
FOSL2_JUND	CYP1A2	1
FOSL2_JUN	CYP1A2	1
FOSB_JUNB	CYP1A2	1
JUNB	CYP1A2	1
FOSL2_JUNB	CYP1A2	1
JUND	CYP1A2	1
JUN_JUND	CYP1A2	1
JUNB_JUND	CYP1A2	1
FOSL1_JUND	CYP1A2	1
FOSL1_JUN	CYP1A2	1
FOSB_JUND	CYP1A2	1
FOSB_JUN	CYP1A2	1
JUN_JUNB	CYP1A2	1
FOS_JUND	CYP1A2	1
RELA	SYTL1	1
NFKB1	SYTL1	1
RELA_RELB	SYTL1	1
NFKB2_RELA	SYTL1	1
